# Time-averaged data for fix dU
# TimeStep c_1[1] c_1[2] c_2[1] c_2[2]
47200 0.206692 0.705371 0.131759 0.800519
47300 0.0647626 0.896406 0.253023 0.652289
47400 0.0691431 0.8898 0.247946 0.657905
47500 0.0232107 0.961563 0.287734 0.615154
47600 0.0383446 0.937301 0.272923 0.630733
47700 0.1593 0.764141 0.176734 0.741973
47800 0.175584 0.743415 0.165929 0.755635
47900 0.142739 0.785813 0.194813 0.719663
48000 0.147148 0.779984 0.186215 0.730188
48100 0.172796 0.746924 0.166 0.755545
48200 0.134563 0.796737 0.201252 0.711881
48300 0.209887 0.701576 0.140979 0.788152
48400 0.231876 0.676003 0.117408 0.820155
48500 0.244245 0.662029 0.106533 0.835356
48600 0.246841 0.659134 0.105493 0.836825
48700 0.250089 0.655529 0.101645 0.84228
48800 0.220016 0.689677 0.125929 0.808438
48900 0.167137 0.754095 0.170981 0.749216
49000 0.142306 0.786387 0.191188 0.724083
49100 0.135242 0.795824 0.194329 0.720252
49200 0.0753582 0.88051 0.244937 0.661256
49300 0.151028 0.774891 0.184117 0.73278
49400 0.12099 0.81521 0.212838 0.698089
49500 0.14625 0.781167 0.193882 0.720795
49600 0.162909 0.759498 0.18168 0.735801
49700 0.149899 0.776369 0.183743 0.733243
49800 0.195121 0.719289 0.140427 0.788886
49900 0.137786 0.792412 0.180501 0.737269
50000 0.133866 0.797676 0.181657 0.73583
50100 0.172903 0.746788 0.149712 0.776614
50200 0.101869 0.841962 0.208068 0.703734
50300 0.144457 0.783537 0.175964 0.742938
50400 0.147244 0.779858 0.17631 0.742504
50500 0.153137 0.772135 0.172194 0.747683
50600 0.178068 0.740303 0.155468 0.769103
50700 0.17307 0.746578 0.161792 0.760933
50800 0.14923 0.777247 0.181664 0.735822
50900 0.1535 0.771662 0.182887 0.734304
51000 0.102766 0.840686 0.223252 0.685919
51100 0.113934 0.824981 0.213705 0.697067
51200 0.077562 0.877239 0.245271 0.660884
51300 0.0901025 0.858858 0.236009 0.671301
51400 0.111594 0.828248 0.21462 0.695991
51500 0.142723 0.785834 0.186814 0.72945
51600 0.115359 0.822998 0.20635 0.705779
51700 0.128318 0.805183 0.194916 0.719538
51800 0.136373 0.794306 0.182594 0.734667
51900 0.125762 0.808667 0.193806 0.720889
52000 0.112612 0.826824 0.207285 0.704665
52100 0.11443 0.82429 0.212521 0.698462
52200 0.213991 0.69673 0.135577 0.795374
52300 0.185376 0.731224 0.162023 0.760636
52400 0.17674 0.741965 0.16687 0.754435
52500 0.133478 0.798198 0.197692 0.716173
52600 0.115936 0.822197 0.211805 0.699308
52700 0.183219 0.733892 0.152875 0.772477
52800 0.235715 0.671634 0.108101 0.833146
52900 0.163483 0.758762 0.168482 0.752384
53000 0.0584506 0.906012 0.25848 0.646306
53100 0.0518928 0.916101 0.264236 0.640054
53200 -0.00975819 1.01661 0.313575 0.588887
53300 -0.0124844 1.02131 0.315214 0.58726
53400 -0.0676036 1.12093 0.360906 0.543653
53500 -0.0179525 1.03078 0.323908 0.578702
53600 -0.0193595 1.03323 0.327057 0.575632
53700 0.0261784 0.956757 0.285795 0.617172
53800 0.00820549 0.986239 0.300375 0.602161
53900 0.0349253 0.942729 0.278369 0.624959
54000 0.0494655 0.919863 0.263512 0.640837
54100 0.00378147 0.993635 0.30287 0.59963
54200 -0.0542053 1.09585 0.354275 0.549774
54300 0.00422993 0.992883 0.310014 0.59244
54400 0.0709979 0.887017 0.257346 0.647544
54500 0.162864 0.759556 0.178402 0.739886
54600 0.177576 0.740919 0.157307 0.766717
54700 0.13993 0.789549 0.192303 0.72272
54800 0.138293 0.791735 0.19073 0.724643
54900 0.0912473 0.857199 0.223842 0.685236
55000 0.0563892 0.909171 0.248543 0.657242
55100 0.0609511 0.902194 0.246582 0.659422
55200 0.0598576 0.903862 0.248732 0.657033
55300 0.115618 0.822639 0.203334 0.709383
55400 -0.00536809 1.00911 0.307981 0.594477
55500 0.0179766 0.9701 0.291083 0.611684
55600 0.139117 0.790634 0.191525 0.723671
55700 0.169455 0.751149 0.165581 0.756079
55800 0.115262 0.823133 0.208819 0.702842
55900 0.0988446 0.846272 0.221138 0.688372
56000 0.158546 0.765115 0.170311 0.750064
56100 0.112661 0.826757 0.207732 0.704134
56200 0.136102 0.79467 0.185858 0.730628
56300 0.138384 0.791612 0.185929 0.730541
56400 0.137573 0.792698 0.189609 0.726015
56500 0.214015 0.696702 0.132766 0.799159
56600 0.178804 0.739384 0.163633 0.75857
56700 0.130025 0.802867 0.207028 0.704971
56800 0.110351 0.829987 0.219438 0.690351
56900 0.115052 0.823425 0.207648 0.704233
57000 0.175439 0.743597 0.155303 0.769316
57100 0.125533 0.80898 0.195359 0.719
57200 0.203387 0.709319 0.132343 0.79973
57300 0.237155 0.670003 0.104507 0.838219
57400 0.21964 0.690116 0.124153 0.810866
57500 0.190581 0.724824 0.153182 0.772076
57600 0.156034 0.768367 0.183377 0.733696
57700 0.134631 0.796646 0.195954 0.718278
57800 0.0823279 0.870208 0.234719 0.672765
57900 0.127504 0.806292 0.198216 0.715539
58000 0.0566636 0.90875 0.257486 0.647391
58100 0.0443867 0.927786 0.266732 0.637361
